url,Error,domain,ads,imgratio,inlinks,wot,pageloadtime,outlinks,misspelled,contact,cookie,brokenlinks,responsive,lastmod,langcount,email,sitemap,help,redirected
"""http://www.openssh.com/portable.html""",Field NA,"""com""",0,1,0,"[94, 47]",0,-1,0,0,1,0,0,"""2017-08-08T16:08:06""",1,0,0,0,Field NA
"""http://freecode.com/projects/lsof""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://logsurfer.sourceforge.net/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.s4software.com/sg.htm""",Field NA,"""com""",0,1,0,"""NA""",0,0,0,1,1,0,0,"""2015-06-08T15:31:41""",1,0,0,0,Field NA
"""http://www.rootkit.nl/projects/lynis.html""",Field NA,"""com""",0,0,0,"[64, 4]",0,0,0,0,1,0,0,"""2017-08-11T14:58:52""",1,0,0,0,"""https://cisofy.com/"""
"""http://pdg.uow.edu.au/sus/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.porcupine.org/forensics/tct.html""",Field NA,"""org""",0,1,0,"[78, 9]",0,0,0,0,1,0,0,"""2011-02-08T18:58:00""",1,0,0,1,Field NA
"""http://www.nmap.org/""",Field NA,"""org""",0,0,0,"[93, 52]",0,-1,0,0,1,0,0,"""2017-08-11T15:04:01""",1,0,0,0,"""https://nmap.org/"""
"""http://www.tripwire.org/""",Field NA,"""com""",0,-1,0,"[89, 12]",0,0,0,1,0,0,0,"""2017-08-11T15:06:01""",1,0,0,0,"""https://www.tripwire.com/"""
"""http://www.sudo.ws/""",Field NA,"""ws""",0,1,0,"[94, 18]",0,0,0,0,1,-1,0,"""2017-08-03T17:09:26""",1,0,0,0,"""https://www.sudo.ws/"""
"""http://www-nrg.ee.lbl.gov/nrg.html""",Field NA,"""gov""",0,1,0,"""NA""",0,0,0,0,1,0,0,"""2012-01-27T21:22:53""",1,1,0,0,"""http://ee.lbl.gov/nrg.html"""
"""http://cryptography.org/""",Field NA,"""org""",0,1,0,"[91, 13]",0,0,0,0,1,0,0,"""2016-08-22T19:00:46""",1,0,0,0,Field NA
"""http://www.postfix.org/""",Field NA,"""org""",0,0,0,"[93, 48]",0,0,0,0,1,0,0,"""2017-06-29T17:16:00""",1,0,0,0,Field NA
"""http://www.wwdsi.com/saint/""",Field NA,"""com""",0,0,0,"[73, 9]",0,0,0,1,0,0,1,"""2017-08-11T15:22:03""",1,0,0,0,"""http://www.saintcorporation.com/products/"""
"""http://mcrypt.sourceforge.net/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.albion.com/security/usst/""",Field NA,"""com""",0,0,0,"[84, 10]",0,0,0,0,1,0,0,"""2006-11-13T01:32:11""",1,0,0,0,Field NA
"""http://www.unixtools.com/security.html""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.syslog.org/""",Field NA,"""org""",0,1,0,"[83, 11]",0,0,0,0,1,0,0,"""2017-08-11T15:35:07""",1,0,0,0,Field NA
"""http://www.benzedrine.ch/pf.html""",Field NA,"""ch""",-1,1,0,"""NA""",0,-1,0,1,1,-1,0,"""2017-05-23T10:48:44""",1,0,0,1,Field NA
"""http://default.rs/~bc/docs/ipsec_bridging-1.txt""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.benzedrine.cx/pf-paper.html""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.usenix.org/events/usenix99/provos.html""",Field NA,"""org""",0,1,0,"""NA""",0,0,0,1,1,0,0,"""2017-08-11T15:47:23""",1,0,0,0,"""https://www.usenix.org/legacy/events/usenix99/provos.html"""
"""http://www.usenix.org/events/usenix99/deraadt.html""",Field NA,"""org""",0,1,0,"""NA""",0,0,0,1,1,0,0,"""2017-08-11T15:48:00""",1,0,0,0,"""https://www.usenix.org/legacy/events/usenix99/deraadt.html"""
"""http://geodsoft.com/howto/harden/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.ualberta.ca/~beck/authgw.html""",Field NA,"""ca""",0,1,0,"""NA""",0,0,0,0,0,0,0,"""1999-07-12T16:39:24""",1,0,0,0,"""https://sites.ualberta.ca/~beck/authgw.html"""
"""http://www.openbsd.org/papers/oreilly2000/""",Field NA,"""org""",0,1,0,"[96, 49]",0,0,0,0,1,0,0,"""2017-04-02T02:29:05""",1,0,0,0,Field NA
"""http://www.cert.org/advisories/CA-1990-07.html""",Field NA,"""org""",0,0,0,"[92, 50]",0,0,0,1,0,0,0,"""2014-06-12T15:22:33""",1,0,0,0,"""http://www.cert.org/historical/advisories/CA-1990-07.cfm"""
"""http://www.cert.org/advisories/CA-1990-09.html""",Field NA,"""org""",0,0,0,"""NA""",0,0,0,1,0,0,0,"""2014-06-12T15:26:56""",1,0,0,0,"""http://www.cert.org/historical/advisories/CA-1990-09.cfm"""
"""http://www.cert.org/advisories/CA-1992-18.html""",Field NA,"""org""",0,0,0,"[92, 50]",-1,0,0,1,0,0,0,"""2014-06-16T15:33:56""",1,0,0,0,"""http://www.cert.org/historical/advisories/CA-1992-18.cfm"""
"""http://www.cert.org/advisories/CA-1993-05.html""",Field NA,"""org""",0,0,0,"[92, 50]",0,0,0,1,0,0,0,"""2013-08-26T16:46:07""",1,0,0,0,"""http://www.cert.org/historical/advisories/CA-1993-05.cfm"""
"""http://www.pointsecure.com/""",Field NA,"""com""",0,0,0,"[68, 8]",0,0,0,0,1,0,1,"""2017-08-11T15:59:23""",1,0,0,0,"""http://pointsecure.com/"""
"""http://vancouver-webpages.com/security/VMS.html""",Field NA,"""com""",0,1,0,"""NA""",0,0,0,0,1,0,0,"""2013-08-09T15:29:29""",1,0,0,0,Field NA
"""http://www.auditnet.org/docs/decvaxvm.txt""",Field NA,"""org""",0,1,0,"[74, 8]",0,0,0,1,0,0,1,"""2017-08-11T16:00:22""",1,0,0,0,"""http://www.auditnet.org/audit_programs/dec-vaxvms-operating-system-security-review"""
"""http://windowsxphack.blogspot.com/""",Field NA,"""in""",0,0,0,"[65, 7]",0,-1,0,0,1,0,1,"""2014-10-01T07:16:40""",1,1,0,0,"""http://windowsxphack.blogspot.in/"""
"""http://www.pctools.com/guides/security/""",Field NA,"""com""",0,0,0,"[92, 62]",0,0,0,0,1,0,0,"""2017-08-11T16:03:24""",1,0,0,0,"""http://www.pctools.com/"""
"""http://www.smallwonders.com/""",Field NA,"""com""",0,0,0,"[62, 5]",0,0,0,1,0,0,1,"""2017-08-11T16:03:51""",1,0,0,0,Field NA
"""http://www.sans.org/reading_room/whitepapers/win2k/""",Field NA,"""org""",0,-1,0,"[92, 48]",0,0,0,1,1,0,0,"""2017-08-11T16:05:39""",1,0,0,1,"""http://www.sans.org/reading-room/whitepapers/win2k/"""
"""http://www.microsoft.com/technet/security/""",Field NA,"""com""",-1,0,0,"[95, 80]",0,-1,0,1,0,0,1,"""2017-08-11T16:07:33""",1,0,0,1,"""https://technet.microsoft.com/en-us/security/default.aspx"""
"""http://www.megaas.com/""",Field NA,"""com""",0,0,0,"""NA""",0,0,0,0,0,0,0,"""2017-08-11T16:15:21""",1,0,0,0,Field NA
"""http://www.pctools.com/guides/security/id/2/""",Field NA,"""com""",0,0,0,"[92, 62]",0,0,0,0,1,0,0,"""2017-08-11T16:16:19""",1,0,0,0,"""http://www.pctools.com/"""
"""http://www.e-motional.com/TScreenLock.htm""",Field NA,"""com""",0,1,0,"[73, 7]",-1,-1,0,0,1,-1,0,"""2017-08-11T16:16:34""",1,0,0,0,Field NA
"""http://www.cms.ca/""",Field NA,"""com""",-1,0,0,"""NA""",0,-1,0,1,1,-1,"""Info not NA""","""2017-08-11T16:37:26""",2,0,0,1,"""https://newsignature.com/"""
"""http://www.ntsecurity.nu/""",Field NA,"""nu""",0,-1,0,"[57, 13]",0,0,0,0,1,0,0,"""2016-04-23T13:59:23""",1,0,0,0,Field NA
"""http://www.labmice.net/articles/securingwin2000.htm""",Field NA,"""com""",0,1,0,"""NA""",-1,0,0,0,0,0,0,"""2017-08-11T16:47:57""",1,0,0,0,"""http://labmice.techtarget.com/articles/securingwin2000.htm"""
"""http://www.winsysbee.com/""",Field NA,"""com""",0,0,0,"[68, 10]",0,0,0,1,0,0,1,"""2017-06-13T04:46:49""",1,0,0,0,Field NA
"""http://www.intelore.com/""",Field NA,"""com""",0,0,0,"[86, 16]",0,0,0,1,1,0,0,"""2017-08-11T09:28:38""",1,0,0,0,Field NA
"""http://www.password-solutions.com/""",Field NA,"""com""",0,0,1,"""NA""",0,0,0,1,0,0,0,"""2017-08-11T16:51:47""",1,0,0,0,Field NA
"""http://hashsuite.openwall.net/""",Field NA,"""net""",0,-1,0,"[80, 9]",0,0,0,1,1,0,0,"""2017-08-11T16:52:06""",1,0,0,0,Field NA
"""http://lsoft.net/pwch.aspx""",Field NA,"""net""",0,1,0,"""NA""",0,-1,0,1,1,-1,0,"""2017-08-11T16:51:13""",1,0,0,0,Field NA
"""http://www.petri.co.il/excel-password-recovery.htm""",Field NA,"""com""",0,1,0,"[93, 16]",0,0,0,0,0,0,1,"""2017-08-11T16:02:07""",1,0,0,0,"""https://www.petri.com/excel-password-recovery"""
"""http://www.apasscracker.com/""",Field NA,"""com""",0,0,0,"[82, 12]",0,0,0,0,0,0,0,"""2017-08-11T17:17:56""",1,1,1,0,"""https://apasscracker.com/"""
"""http://www.abf-soft.com/password-recovery.shtml""",Field NA,"""com""",0,-1,0,"""NA""",0,0,0,0,1,0,0,"""2017-08-11T17:21:22""",1,0,1,0,Field NA
"""http://www.rixler.com/""",Field NA,"""com""",0,1,0,"[72, 10]",-1,-1,0,1,1,-1,"""Error in binding req to urllib2""","""2017-08-11T17:06:25""",1,1,1,0,Field NA
"""http://www.zip-backup.com/zippassword/""",Field NA,"""com""",0,0,0,"[76, 14]",0,0,0,0,1,0,0,"""2017-08-11T17:49:53""",1,0,0,0,Field NA
"""http://www.passwordrecoverytools.com/""",Field NA,"""com""",0,0,0,"[54, 12]",0,0,0,1,0,0,0,"""2017-08-11T17:51:08""",1,0,1,1,"""https://passwordrecoverytools.com/"""
"""http://www.elcomsoft.com/prs.html""",Field NA,"""com""",0,1,0,"""NA""",0,0,0,1,0,0,0,"""2017-08-11T17:59:56""",1,0,0,0,"""https://www.elcomsoft.com/products.html"""
"""http://soft4you.com/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.doshare.com/""",Field NA,"""com""",0,0,0,"[64, 7]",0,0,0,1,1,0,0,"""2017-04-06T08:00:15""",1,0,0,0,Field NA
"""http://www.secretfilesoftware.com/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.password-protect-software.com/""",Field NA,"""com""",0,0,0,"[66, 7]",0,0,0,1,1,0,0,"""2013-11-01T09:04:00""",1,0,0,1,Field NA
"""http://www.softfolder.com/password_protected_lock.html""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.sowsoft.com/""",Field NA,"""com""",0,0,0,"[67, 8]",0,0,0,0,1,0,0,"""2017-08-11T18:16:06""",1,0,0,0,Field NA
