url,genre,domain,ads,imgratio,inlinks,wot,pageloadtime,misspelled,hyperlinks,cookie,brokenlinks,responsive,lastmod,langcount,outlinks,redirected
https://code.google.com/chrome/extensions/hosting.html,other,com,25,1,1490000,"[93, 50]",53,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 1}",No,321,FALSE,09/09/2017 16:04:56,1,25,https://developer.chrome.com/extensions/hosting
http://www.newssummedup.com/a/dbs7m9,articles,com,31,0.0074938979,0,NA,50,3,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,51,TRUE,24/08/2017 11:27:08,1,17,Field NA
http://www.kohanaframework.org/,other,org,3,0.6092284418,0,"[87, 10]",73,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,0,FALSE,05/07/2017 14:48:03,1,3,http://kohanaframework.org/
http://www.opswat.com/,Portrayl-org,com,18,0.5935421894,0,"[90, 51]",166,4,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,131,TRUE,13/08/2017 08:00:36,1,18,https://www.opswat.com/
https://www.uscis.gov/news/alerts/new-law-increases-h-1b-and-l-1-petition-fees,help,gov,27,0.5867910503,0,"[94, 57]",+++,2,"{""contact"": 1, ""email"": 1, ""sitemap"": 0, ""help"": 0}",No,107,TRUE,31/08/2017 18:33:16,1,24,Field NA
http://docs.saltstack.org/en/latest/topics/installation/solaris.html,other,com,7,1,0,NA,28,2,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,60,FALSE,31/08/2017 13:03:22,1,7,https://docs.saltstack.com/en/latest/topics/installation/solaris.html
https://quttera.com/website-scanner-statistics-last-day,other,com,10,0.6071456684,0,"[87, 46]",37,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,3,FALSE,19/08/2017 18:52:19,1,7,Field NA
http://www.inforiskgroup.com/,Portrayl-org,com,11,0.6089993259,0,"[68, 10]",92,3,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,24,FALSE,17/08/2017 07:16:29,1,10,Field NA
http://www.ncbi.nlm.nih.gov/pubmed/8667166,articles,gov,35,0.1998605373,0,NA,+++,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",Yes,40,TRUE,27/09/2017 13:51:05,1,28,https://www.ncbi.nlm.nih.gov/pubmed/8667166
http://www.integrigy.com/,Portrayl-org,com,12,0.0245167568,44000000,"[61, 4]",332,4,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,2,TRUE,12/08/2017 19:39:12,1,8,https://www.integrigy.com/
http://dx.doi.org/10.1146%2Fannurev.aa.14.090176.002221,articles,org,9,0.2494629488,0,"[90, 40]",183,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",Yes,1,FALSE,09/09/2017 12:54:41,1,4,http://www.annualreviews.org/action/cookieAbsent
http://community.norton.com/t5/Norton-Protection-Blog/What-s-new-in-Norton-Internet-Security-2011/ba-p/222807,Portrayl-org,com,69,0.0668348799,0,NA,+++,60,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 1}",No,3,TRUE,07/10/2017 12:32:41,1,53,https://community.norton.com/node/5253
http://www.hc-sc.gc.ca/ahc-asc/pubs/_sites-lieux/insite/index-eng.php,articles,ca,43,0.25,0,NA,53,32,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",Yes,2,FALSE,03/09/2017 19:01:16,2,34,https://www.canada.ca/en/health-canada/corporate/about-health-canada/reports-publications/vancouver-insite-service-other-supervised-injection-sites-what-been-learned-research.html
